,sentence1,sentence2
920,限時快閃 超值3盒組加碼贈 家倍健優加 葉黃素 金盞花萃取物+黑醋栗複方軟膠囊(30粒/盒)×3 送小分子膠原蛋白胜肽錠(90錠/袋),Flash Sale Trio Pack NatureMaxi Lutein Calendula Extract&Blackcurrant Soft Capsule(30 caps/box)×3 Free Small Molecule Collagen Peptide Tablets(90 tablets/pack)
921,DR.CINK 千日緊膚組,DR.CINK Anti-Wrinkle Full Set
922,DR.CINK 超導膜2入組,DR.CINK Perfect-Fit Mask Twin Pack
923,DR.CINK 深層煥膚組,DR.CINK Renewal & Cleansing Set
924,DR.CINK 泥膜組,DR.CINK Volcanic Clay Mask Set
925,FS直播限定！PWP Powerful-X 升級版 CL LIGHT修復霜10ml（2ml×5）,FS Live Limited！PWP Powerful-X CL LIGHT(2ml×5)
926,FS直播限定！PWP 愛上新鮮 綜合水果脆片 70g/包,FS Live Limited！PWP i3Fresh Mixed Dried Fruit Chip(70g/pack)
927,FS直播限定！匠拌麵 鵝油金蔥 3包/袋,FS Live Limited！Kung Fu Noodles Premium Goose oil with Crisp Shallot Flakes(3 pcs/pack)
928,FS直播限定！新品優惠 現折RM10 食創新煮 幸福傳遞黑金滷(透明袋包裝) 3包/組,FS Live Limited！Eating Creations Premium Braised Pork(3 packs/set)
929,FS直播限定！新品首播優惠 韓國超人氣零食任選3包組,FS Live Limited！Trio Set Korean Snacks×3(optioanl)
930,FS直播限定！新品首播 3袋優惠價 HBAF 杏仁果 30g/袋 2口味任選,"FS Live Limited！Tom's Gilim Almond(30g/pack×3, 2 Flavor)"
931,FS直播限定！新品首播優惠加碼贈 DV 醇好菌(10包/盒×3) 再送塑身燃脂褲(M-Size),FS Live Limited！Trio Set DV Probiotics Drink Improve Digestive(10 packs/box)×3 Free Fat-Burnning Pant(M-Size)
932,FS直播限定！買1送1 UNICAT 私密呵護潔淨露 200ml,"FS Live Limited！Buy 1 Get 1 Free UNICAT Feminine Intimate Wash(200ml,optionsl)"
933,FS直播限定！3入組 UNICAT 3分鐘毛孔緊膚水 150ml,FS Live Limited！Trio Set UNICAT EX3 Anti-Pore Clean Lotion(150ml×3)
934,FS直播限定！UNICAT 保濕控油面膜組 加碼再送水潤保濕凝霜10ml×3,UNICAT RRevitalizing Face Mask(10 pcs/box)+Black Mask×10s Free Hydrating Cream(10ml×3)
935,FS直播限定！UNICAT 晶鑽礦物女神代謝面膜全系列3盒組 再多送完美極潤修護代謝面膜1盒,FS Live Limited！UNICAT Bio Skin Double Effect Mask (3 pcs/box)×3 Free Reservoir Double Effect Mask (5 pcs/box)
936,FS直播限定！UNICAT 20片保濕美白面膜組 加碼再送水潤保濕凝霜10ml×3,FS Live Limited！UNICAT Classic Hot Sale Mask×20 pcs Free Hydrating Cream(10ml×3)
937,FS直播限定！UNICAT 超能原液精華任選2入 再送淨透水潤卸洗凝露150ml+水潤保濕精華水150ml+無油光黃金黑面膜5片,"UNICAT Moisturizing Essence(30ml×2,optional) Free All-In-One Cleanser(150ml)+Hydra Essence Toner(150ml)+Oil Control Black Mask×5"
938,新春限定加碼贈 Laler 全新升級90種野菜纖維代謝飲 20包/盒 再多送2包,CNY Exclusive Laler Species Veggie Fiber Drink(20 packs/box) Free Trial Pack×2
939,新春限定 超值2盒組 Laler 輕孅食感滿足飲代餐 晶亮莓果 7袋/盒,CNY Exclusive Twin Pack Set Laler Slim Fast Diet Shake-Berry(7 packs/box)×2
940,FS直播限定！PWP Qmomo 貝殼心機 蕾絲情趣丁字褲 2色可選,FS Live Limited！PWP Qmomo Seashell Heart Sexy Lace Thong(2 Colors)
941,FS直播限定！PWP Qmomo 天絲版 Soft Fun 舒眠天絲平口小褲 4色可選,FS Live Limited！PWP Qmomo Tencel Version Soft Fun Comfy Tencel Pantie(4 Colors)
942,RM1 Daily Deals 限量30組 唯旭美粧 膠原賦活收斂乳液 120ml,RM1 Daily Deals Limited 30 Set Beauty The Sun Emulsion(120ml)
943,RM1 Daily Deals 限量30組 UNICAT 浪漫香氛身體乳 200ml,RM1 Daily Deals Limited 30 Set UNICAT Fragrance Body Lotion(200ml)
944,RM1 Daily Deals 限量25組 Aishitoto 素顏霜 15g,RM1 Daily Deals Limited 30 Set Aishitoto White Cream(15g)
945,RM1 Daily Deals 限量30組 Double Doctor 3D胺基酸淨潤潔顏霜 100ml,RM1 Daily Deals Limited 30 Set Double Doctor Moisturizing Facial Cleanser(100ml)
946,RM1 Daily Deals 限量30組 UNICAT 瑩潤亮膚奶皮面膜 30ml/片,RM1 Daily Deals Limited 30 Set UNICAT Intensive Brightening Facial Mask(30ml/pcs)
947,RM1 Daily Deals 限量30組 SH-RD 蛋白質護髮霜 10ml,RM1 Daily Deals Limited 30 Set SH-RD Protein Cream(10ml)
948,FS直播限定！PWP Qmomo 早安甜心 蕾絲寬版三角小褲 2色可選,FS Live Limited！PWP Qmomo Morning Sweetheart Lace Panties(2 Colors)
949,RM1 Daily Deals 限量30組 Ecocert 玻尿酸保濕原液 30ml,RM1 Daily Deals Limited 30 Set Ecocert Sodium Hyaluronat(30ml)
950,RM1 Daily Deals 限量30組 UNICAT 水潤保濕奶皮面膜 30ml/片,RM1 Daily Deals Limited 30 Set UNICAT Intensive Hydrating Facial Mask(30ml/pcs)
951,FS直播限定！PWP Qmomo 樂芬妮 歌德綁繩設計蕾絲小褲 5色可選,FS Live Limited！PWP Qmomo Le Fenni Lace Pantie (5 colors)
952,新春限定 買就送 Zephyrine 蜂蜜蠟菊彈力洗顏慕斯180ml 送極光藻煥白亮顏露200ml,CNY Exclusive Zephyrine Renew Bubble Cleanser(180ml) Free Algae Whitening Toner(200ml)
953,新春限定 買1送1 Zephyrine 全新升級面膜系列 3片/盒,CNY Exclusive Buy 1 Get 1 Free Zephyrine Custom Solution Mask Series(3 pcs/box)
954,FS直播限定！PWP Qmomo 拉拉Baby 蕾絲舒適小褲 迷霧灰藍,FS Live Limited！PWP Qmomo BABY LALA Hipster Panties (Misty Blue Grey)
955,FS直播限定！PWP Qmomo 拉拉Baby 蕾絲舒適小褲 玫瑰藕粉,FS Live Limited！PWP Qmomo BABY LALA Hipster Panties (Rose Soft Pink)
956,FS直播限定！PWP Qmomo 拉緊蜜桃 蕾絲透膚性感三角褲 勃根地紅,FS Live Limited！PWP Qmomo Beep Beep Sexy Lace Hipster Panties (Burgundy Red)
957,"FS直播限定！PWP Qmomo 收肉肉 -3"" 雙層蕾絲包臀無痕平口褲 黑色",FS Live Limited！PWP Qmomo Pushing Plump Double Layers Seamless Lace Pantie (Black)
958,"FS直播限定！PWP Qmomo 收肉肉 -3"" 雙層蕾絲包臀無痕平口褲 紅色",FS Live Limited！PWP Qmomo Pushing Plump Double Layers Seamless Lace Pantie (Red)
959,FS直播限定！Qmomo 美胸精華水針胸膜 5片/盒,FS Live Limited！Qmomo DOUBLE PURU Bust Beauty Essence Water Needle Pleura(5 pcs/boc)
960,FS直播限定！Qmomo DOUBLE PURU 美胸精華凝膠 150ml,FS Live Limited！Qmomo DOUBLE PURU Bust Beauty Gel(150ml)
961,FS直播限定！Qmomo 貝殼之吻 蕾絲馬甲情趣内衣 午夜黑,FS Live Limited！Qmomo Seashell Kiss Thin Lace Corset Sexy Lingerie(Midnight Black)
962,FS直播限定！Qmomo 貝殼之吻 蕾絲馬甲情趣内衣 紅玫瑰,FS Live Limited！Qmomo Seashell Kiss Thin Lace Corset Sexy Lingerie(Rose Red)
963,FS直播限定！Qmomo UP TO U！桃心領美背細肩帶BraTop 深海藍,FS Live Limited！Qmomo UP TO U！U-Shape Back Bra Top (Venecian Blue)
964,FS直播限定！Qmomo UP TO U！桃心領美背細肩帶BraTop 情迷黑,FS Live Limited！Qmomo UP TO U！U-Shape Back Bra Top (Sexy Black)
965,FS直播限定！Qmomo UP TO U！桃心領美背細肩帶BraTop 清純白,FS Live Limited！Qmomo UP TO U！U-Shape Back Bra Top (Pure White)
966,72HR限時快閃 買大送小 Hallmark 怪獸派對2in1泡泡露組,72HR Flash Sale Hallmark Baby No Tear 2-in-1 Hair & Body Wash Set
967,FS直播限定！Qmomo 天絲版 晚安推推 雙C魔力Soft Fun舒眠天絲內衣 灰色,FS Live Limited！Qmomo Tencel Version Night Bra Double-C Soft Fun Comfy Tencel Bra(Grey)
968,Moritek 凝時提拉緊致精華噴霧 多規格可選,Moritek Resilience Rebuilder V-Shaping Essence(Optional)
969,FS直播限定！Qmomo 天絲版 晚安推推 雙C魔力Soft Fun舒眠天絲內衣 藍色,FS Live Limited！Qmomo Tencel Version Night Bra Double-C Soft Fun Comfy Tencel Bra(Blue)
970,FS直播限定！Qmomo 天絲版 晚安推推 雙C魔力Soft Fun舒眠天絲內衣 黑色,FS Live Limited！Qmomo Tencel Version Night Bra Double-C Soft Fun Comfy Tencel Bra(Black)
971,FS直播限定！Qmomo 天絲版 晚安推推 雙C魔力Soft Fun舒眠天絲內衣 粉色,FS Live Limited！Qmomo Tencel Version Night Bra Double-C Soft Fun Comfy Tencel Bra(Pink)
972,FS直播限定！Qmomo 長裙版 晚安推推 雙C魔力內衣 黑色,FS Live Limited！Qmomo Long Dress Version Night Bra Double-C Uplifting Sleeps Bra (Black)
973,限時快閃 買5送5 DV 醇養妍美白飲 膠原蛋白穀胱甘肽 10包/盒,Flash Sale Buy 5 Get 5 Free DV Collagen Drink (10 packs/box)
974,限時快閃 買2送2 DV 蔬暢輕飲 10包/盒 鍾麗緹&陳翊萱雙代言,Flash Sale Buy 2 Get 2 Free DV Vegetable Detoxing Essence Drink(10 packs/ box)
975,FS直播限定！Qmomo 長裙版 晚安推推 雙C魔力內衣 米白,FS Live Limited！Qmomo Long Dress Version Night Bra Double-C Uplifting Sleeps Bra (White)
976,限時快閃 買2送2 DV 纖先暢金版新升級 10包/盒 楊羽霓代言,Flash Sale Buy 2 Get 2 Free DV Manuka Honey Fiber Powder(10 pcs/box)
977,限時快閃 買2送2 DV IZMiZ 逸直美高濃度紅石榴美妍飲 5包/盒,Flash Sale Buy 2 Get 2 Free DV IZMiZ Pomegranate Juice (5 pcs/box)
978,限時快閃 買1送1 DV 窈窕寒天晶凍 10包/盒,Flash Sale Buy 1 Get 1 Free DV Fruit Enzyme Jello(10 packs/box)
979,限時快閃 買1送1 DV 暢暢飲 10包/盒,Flash Sale Buy 1 Get 1 Free DV Probiotic Fiber Drink(10 packs/box)
980,FS直播限定！Qmomo 長裙版 晚安推推 雙C魔力內衣 粉色,FS Live Limited！Qmomo Long Dress Version Night Bra Double-C Uplifting Sleeps Bra (Pink)
981,限時快閃 買1送1 DV 雙樂纖 30顆/盒 陳喬恩代言,Flash Sale Buy 1 Get 1 Free DV Double Slimming Fiber (30 capsules/box)
982,FS直播限定！Qmomo 晚安推推 啵啵BOBO・短版晚安 莫代爾雙C魔力羅紋捲邊上衣+短睡褲 淡天空藍,FS Live Limited！Qmomo BOBO・Short Version Night Bra Double C Modal Ribbed Jersey Ruffle Hem Pajamas Top+Pants (Light Sky Blue)
983,FS直播限定！Qmomo 晚安推推 啵啵BOBO・短版晚安 莫代爾雙C魔力羅紋捲邊上衣+短睡褲 羅蘭粉紫,FS Live Limited！Qmomo BOBO・Short Version Night Bra Double C Modal Ribbed Jersey Ruffle Hem Pajamas Top+Pants (Pinkish Violet )
984,FS直播限定！Qmomo 晚安推推 啵啵BOBO・短版晚安 莫代爾雙C魔力羅紋捲邊上衣+短睡褲 暗湖水藍,FS Live Limited！Qmomo BOBO・Short Version Night Bra Double C Modal Ribbed Jersey Ruffle Hem Pajamas Top+Pants (Dark Lake Blue)
985,FS直播限定！Qmomo 睡眠內衣 晚安推推．啾啾ChuChu 雙C羅紋捲邊短袖上衣+短睡褲成套組 慵懒Blue,FS Live Limited！Qmomo ChuChu．T-Shirt Version Night Bra Double C Ribbed Jersey Ruffle Hem Pajamas Top+Pants (Lazy Blue)
986,FS直播限定！Qmomo 睡眠內衣 晚安推推．啾啾ChuChu 雙C羅紋捲邊短袖上衣+短睡褲成套組 懶洋洋粉,FS Live Limited！Qmomo ChuChu．T-Shirt Version Night Bra Double C Ribbed Jersey Ruffle Hem Pajamas Top+Pants (Lazy Pink)
987,FS直播限定！Qmomo 早安妞！Morning Bra 軟鋼圈深Ｖ蕾絲日間美胸内衣 小豬粉,FS Live Limited！Qmomo Morning Bra！Soft Wired Deep V Lace Breast Bra (Piggy Pink)
988,FS直播限定！Qmomo 早安妞！Morning Bra 軟鋼圈深Ｖ蕾絲日間美胸内衣 彈珠汽水綠,FS Live Limited！Qmomo Morning Bra！Soft Wired Deep V Lace Breast Bra (Soda Green)
989,FS直播限定！Qmomo 棉花樂芬妮 軟鋼圈棉花杯舒適内衣 灰色,FS Live Limited！Qmomo Cotton Levingne Soft-Wired Bra (Gray)
990,FS直播限定！Qmomo 棉花樂芬妮 軟鋼圈棉花杯舒適内衣 藍紫,FS Live Limited！Qmomo Cotton Levingne Soft-Wired Bra (Bluish Purple)
991,FS直播限定！Qmomo 棉花樂芬妮 軟鋼圈棉花杯舒適内衣 黑色,FS Live Limited！Qmomo Cotton Levingne Soft-Wired Bra (Black)
992,FS直播限定！Qmomo 棉花樂芬妮 軟鋼圈棉花杯舒適内衣 藕粉,FS Live Limited！Qmomo Cotton Levingne Soft-Wired Bra (Soft Pink)
993,FS直播限定！Qmomo 棉花樂芬妮 軟鋼圈棉花杯舒適内衣 酒紅,FS Live Limited！Qmomo Cotton Levingne Soft-Wired Bra (Wine Red)
994,FS直播限定！Qmomo 奇蹟LaLa 莫代爾前拉鍊無鋼圈美背内衣 迷霧灰藍,FS Live Limited！Qmomo Miracle LaLa Zip-up Bra (Misty Blue Grey)
995,FS直播限定！Qmomo 奇蹟LaLa 莫代爾前拉鍊無鋼圈美背内衣 玫瑰藕粉,FS Live Limited！Qmomo Miracle LaLa Zip-up Bra (Rose Soft Pink)
996,FS直播限定！Qmomo 拉拉緊爆 無鋼圈包覆集中綁帶内衣 勃根地紅,FS Live Limited！Qmomo Beep Beep Wireless Lace-up Bra (Burgundy Red)
997,"FS直播限定！Qmomo 推肉肉 -3"" 減壓W深溝棉杯超包覆内衣 黑色",FS Live Limited！Qmomo Pushing Plump Wireless Full Coverage Bra (Black)
998,"FS直播限定！Qmomo 推肉肉 -3"" 減壓W深溝棉杯超包覆内衣 紅色",FS Live Limited！Qmomo Pushing Plump Wireless Full Coverage Bra (Red)
999,團購優惠3瓶入｜限量20組 Vigoway 羊乳益生菌咀嚼錠(100錠/瓶)×3 再多送體驗包×5,Group Sale Limited｜Limited 20 Set Vigoway Goat Milk Colostrum Tablets(100 tablets/bottle)×3 Extra Free Trial Pack(3 tabs/pack)×5
